dataset,num_samples,num_drugs,num_sample_drug_pairs,num_sample_drug_transcript_pairs,num_sample_drug_transcript_mutation_pairs,num_sample_drug_transcript_copynum_pairs,num_sample_drug_mutation_copynum_pairs
hcmi,886,,,,,,
beataml,1022,164,23662,3033,2905,,
mpnst,50,25,212,163,163,163,163
pancpdo,70,25,290,180,175,175,285
cptac,1139,,,,,,
sarcpdo,36,34,276,234,187,,
colorectal,61,10,140,60,60,60,140
bladderpdo,134,50,3300,840,640,640,3100
liver,62,76,4453,4453,4453,4453,4453
novartis,386,25,1766,1734,1734,1723,1723
ccle,502,24,11543,10887,10792,10887,11118
ctrpv2,846,460,310564,301263,296487,300452,301373
fimm,52,52,2663,2457,2457,2457,2611
gdscv1,984,293,246807,244282,241074,240318,241644
gdscv2,806,169,113964,112911,111387,111085,111687
gcsi,569,43,13229,12320,12155,12320,12919
prism,478,1418,638684,631784,630379,631784,635929
nci60,83,54654,2933857,2307990,2307977,2307990,2759211
